RANK,NAME,LANGUAGE,TYPE,MOST_STREAMED_GAME,2ND_MOST_STREAMED_GAME,AVERAGE_STREAM_DURATION,FOLLOWERS_GAINED_PER_STREAM,AVG_VIEWERS_PER_STREAM,AVG_GAMES_PER_STREAM,TOTAL_TIME_STREAMED,TOTAL_FOLLOWERS,TOTAL_VIEWS,TOTAL_GAMES_STREAMED,ACTIVE_DAYS_PER_WEEK,MOST_ACTIVE_DAY,DAY_WITH_MOST_FOLLOWERS_GAINED
1,kaicenat,English,personality,Just Chatting,I'm Only Sleeping,7.6,18405,15852,2.3,4698,10600000,9150000,194,3.6,Friday,Saturday
2,jynxzi,English,personality,Tom Clancy's Rainbow Six Siege,NBA 2K20,5.4,3386,1145,1.2,8407,5760000,1950000,54,5.6,Tuesday,Sunday
3,caedrel,English,personality,League of Legends,I'm Only Sleeping,6.3,689,12331,1.3,6728,797000,14200000,111,2.8,Thursday,Sunday
4,caseoh_,English,personality,NBA 2K23,Just Chatting,4.6,7185,0,3.6,2554,4220000,53,385,6.2,Friday,Monday
5,ibai,Spanish,personality,Just Chatting,League of Legends,4.1,8289,190714,1.5,6865,15600000,359000000,149,4.3,Wednesday,Saturday
6,auronplay,Spanish,personality,Minecraft,Just Chatting,3.7,1326,213849,1.8,4482,16300000,263000000,169,5.0,Wednesday,Sunday
7,zerator,French,personality,World of Warcraft,VALORANT,5.1,6670,70813,1.6,9845,1570000,156000000,448,5.0,Sunday,Sunday
8,tarik,English,personality,VALORANT,Counter-Strike,7.6,2013,6043,1.3,10995,3110000,93300000,78,3.7,Thursday,Sunday
9,riotgames,English,esports,League of Legends,League of Legends: Wild Rift,8.5,3434,346968,1.0,9459,6860000,1339000,8,2.8,Saturday,Sunday
10,papaplatte,German,personality,Just Chatting,Minecraft,7.6,1273,48758,2.8,13979,2410000,92800000,503,4.7,Wednesday,Saturday
11,dota2_paragon_ru,Russian,personality,Dota 2,,10.7,1629,0,1.0,2291,352000,0,1,2.8,Tuesday,Sunday
12,aminematue,French,personality,Grand Theft Auto V,Just Chatting,4.3,5295,30366,1.9,2623,2590000,14900000,68,2.8,Monday,Saturday
13,kato_junichi0817,Japanese,personality,Apex Legends,VALORANT,6.3,5460,23768,1.2,67,939000,38400000,136,5.2,Saturday,Sunday
14,fps_shaka,Japanese,personality,PUBG: BATTLEGROUNDS,Apex Legends,9.6,5170,49442,1.7,235,1420000,136000000,311,6.3,Monday,Sunday
15,illojuan,Spanish,personality,Just Chatting,Minecraft,4.5,2993,52631,1.7,7382,4090000,72000000,368,4.5,Thursday,Sunday
16,hasanabi,English,personality,Just Chatting,Grand Theft Auto V,7.4,1201,53092,1.5,15811,2570000,114000000,244,6.6,Tuesday,Friday
17,montanablack88,German,personality,Just Chatting,Fortnite,4.8,3495,10764,2.2,714,5340000,156000000,114,3.8,Sunday,Tuesday
18,playapex,English,esports,Apex Legends,Variety,5.3,5908,8679,1.0,1056,1210000,17800000,2,0.7,Monday,Friday
19,lolpacifictw,Chinese,esports,League of Legends,,5.6,6340,101849,1.0,2503,281000,44900000,1,2.0,Saturday,Tuesday
20,pgl_dota2,English,esports,Dota 2,,10.2,1457,111936,1.0,3421,450000,38100000,1,0.8,Saturday,Sunday
21,xqc,English,personality,Overwatch,Just Chatting,8.8,5132,224584,3.3,21756,12000000,525000000,967,6.3,Wednesday,Thursday
22,loud_coringa,Portuguese,personality,Grand Theft Auto V,Just Chatting,5.8,5358,5144,2.6,5903,5380000,50800000,196,5.3,Thursday,Thursday
23,raderaderader,Japanese,personality,Grand Theft Auto V,Minecraft,3.8,4060,507,1.2,5974,689000,8610000,172,4.1,Saturday,Sunday
24,gaules,Portuguese,esports,Counter-Strike,Among Us,22.5,2425,235565,2.5,52432,4139999,405000000,211,7.0,Monday,Saturday
25,yuuri22,Portuguese,personality,Just Chatting,Virtual Casino,6.7,1404,0,1.3,2903,564000,5,19,4.2,Tuesday,Saturday
26,eliasn97,German,personality,Just Chatting,Fortnite,6.4,1914,23751,2.4,7332,1880000,23300000,95,3.9,Thursday,Monday
27,lord_kebun,English,personality,Grand Theft Auto V,Call of Duty: Warzone,6.8,4780,25866,1.2,986,655000,35400000,66,4.1,Friday,Monday
29,zackrawrr,English,personality,World of Warcraft,Just Chatting,6.1,163,19883,1.7,6369,1790000,21800000,105,5.2,Monday,Friday
30,tumblurr,Italian,personality,Just Chatting,Grand Theft Auto V,5.3,1172,18224,4.0,7991,1500000,23200000,466,3.9,Monday,Thursday
31,ow_esports,English,esports,Overwatch,Overwatch 2,7.2,5493,400009,1.0,717,1970000,240000000,2,1.4,Saturday,Saturday
32,shroud,English,personality,PUBG: BATTLEGROUNDS,VALORANT,8.0,5394,28744,2.0,16781,10900000,571000000,354,5.4,Thursday,Thursday
33,legendus_shaka,Japanese,personality,Street Fighter 6,,6.9,16467,0,1.0,70,29100,0,1,1.0,Sunday,Sunday
